id,username,firstname,lastname,birthdate,gender,email,usertype_id,type_name
4,ThibautP,Thibaut,P.,2000-04-03T22:00:00.000Z,male,thibaut@toto.com,1,Free
7,regje,erth,erth,2023-08-30T22:00:00.000Z,female,erth@aerg.com,1,Free
9,fgsedfg,dfgdsfg,sdfgdfg,2023-08-03T22:00:00.000Z,male,dfgsdfg@agls.com,1,Free
10,efegds,sdfgsdgf,sdfggfd,2023-08-09T22:00:00.000Z,female,dsfgsg@gssdfgd.com,1,Free
11,osijfas,sdaf,dfgj,2023-08-02T22:00:00.000Z,female,pjopj@pohji.com,1,Free
12,sdoljghsdfhgj,dsfgdsfg,dsfgsdfg,2023-08-09T22:00:00.000Z,female,sdfgs@sdhsh.com,1,Free
14,oeihg,wsdfiaus,sdoiafh,2023-09-01T22:00:00.000Z,female,oaihsdf@ofiashd.com,1,Free
15,sadfgjhkb,fkbj,fdkiba,2023-08-08T22:00:00.000Z,not gendered,iasdufgv@safdobiu.com,1,Free
16,diosfgh,soidahj,sdlkfb,2023-08-09T22:00:00.000Z,female,asfuygi@oigy.com,1,Free
17,dsflghsidfhg,dfgdsg,dsgsdfg,2023-08-08T22:00:00.000Z,male,iusadfg@sailog.com,1,Free
18,sdlfgihdsfjghsd,sdfgdfg,sdgfd,2023-08-09T22:00:00.000Z,female,dfgssaA@OSAFH.com,1,Free
19,sadkjhfgaskjdfgh,sdkjfagsg,sdklfja,2023-08-17T22:00:00.000Z,not gendered,opih@opih.com,1,Free
2,KillianC,Killian,C.,2000-03-02T23:00:00.000Z,male,killian@toto.com,2,Premium
3,DamienM,Damien,M.,2000-02-01T23:00:00.000Z,male,damien@toto.com,2,Premium
8,ergwergg,ergw,werg,2023-08-29T22:00:00.000Z,female,werg@esh.com,2,Premium
1,AnnieC,Annie,C.,1999-12-31T23:00:00.000Z,female,annie@toto.com,3,Administrator
5,dfsa,safsdf,sdfsdf,2023-08-30T22:00:00.000Z,female,asf@sdfa.com,3,Administrator
6,wadad,awdad,awdawd,2023-08-28T22:00:00.000Z,male,adawd@fsdafg.com,3,Administrator
13,Test,Test,Test,2023-05-11T22:00:00.000Z,female,test@test.com,3,Administrator
